Wavelength(nm),irradiance(¦ÌW/cm^2/nm)
841.141,-0.01
841.455,-0.02
841.768,0.04
842.081,-0.05
842.394,-0.98
842.707,0.07
843.02,-0.01
843.333,-0.01
843.646,0.01
843.959,-0.03
844.272,-0.05
844.585,-0.37
844.898,-0.04
845.21,0
845.523,0.03
845.835,0.01
846.148,0.07
846.46,-0.01
846.773,-0.14
847.085,0.06
847.397,0.04
847.71,-0.01
848.022,-0.03
848.334,0.02
848.646,0.07
848.958,0.04
849.27,-0.02
849.582,-0.05
849.894,-0.07
850.205,0.01
850.517,0.05
850.829,0.07
851.141,-0.01
851.452,0
851.764,-0.02
852.075,0.07
852.386,0.02
852.698,0.05
853.009,0.03
853.32,-0.11
853.632,-0.11
853.943,-0.01
854.254,-0.02
854.565,0.04
854.876,-0.09
855.187,-0.05
855.497,0
855.808,0.07
856.119,-0.04
856.43,-0.03
856.74,-0.08
857.051,-0.01
857.361,0.03
857.672,0.1
857.982,0.08
858.293,-0.13
858.603,-0.15
858.913,0.1
859.223,-0.02
859.533,-0.04
859.844,0.12
860.154,-0.08
860.464,0.06
860.773,0.06
861.083,0.06
861.393,0.02
861.703,-0.07
862.013,-0.26
862.322,0.08
862.632,-0.08
862.941,0.08
863.251,-0.04
863.56,-0.05
863.869,-0.36
864.179,-0.04
864.488,-0.26
864.797,-0.03
865.106,-0.16
865.415,0.12
865.724,-0.02
866.033,0.04
866.342,0.09
866.651,-0.01
866.96,-0.02
867.269,-0.06
867.577,-0.07
867.886,0.08
868.195,-0.06
868.503,-0.01
868.812,-0.1
869.12,0.06
869.428,-0.03
869.737,0.06
870.045,-0.02
870.353,-0.01
870.661,0.01
870.969,-0.04
871.277,0.04
871.585,-0.06
871.893,0.06
872.201,0.09
872.509,-0.01
872.817,-0.1
873.124,-0.03
873.432,0
873.739,-0.02
874.047,0.07
874.354,-0.02
874.662,-0.49
874.969,0
875.276,0.01
875.584,0.13
875.891,0.03
876.198,0.03
876.505,-0.11
876.812,0.06
877.119,-0.07
877.426,-0.04
877.733,-0.09
878.04,0.05
878.346,0.02
878.653,0.06
878.96,0
879.266,0.05
879.573,0.06
879.879,0.03
880.185,0.02
880.492,-0.07
880.798,0.09
881.104,-0.15
881.411,-0.05
881.717,0.04
882.023,0
882.329,-0.77
882.635,0.07
882.941,0.01
883.246,-0.05
883.552,-0.1
883.858,-0.24
884.164,-0.14
884.469,-0.03
884.775,-0.01
885.08,-0.06
885.386,-1.11
885.691,-0.07
885.996,-0.06
886.302,-0.06
886.607,0.04
886.912,0
887.217,-0.03
887.522,-0.04
887.827,-0.05
888.132,0.11
888.437,0.14
888.742,-0.12
889.046,0.02
889.351,0.09
889.656,-0.02
889.96,0.02
890.265,-0.09
890.569,0.02
890.874,-0.52
891.178,-0.62
891.483,-0.08
891.787,-0.02
892.091,0.13
892.395,-0.02
892.699,0.11
893.003,-0.08
893.307,-0.07
893.611,0.13
893.915,0.03
894.219,-0.01
894.523,-0.11
894.826,0.02
895.13,-0.12
895.433,-0.06
895.737,0
896.04,-0.07
896.344,0.02
896.647,-0.13
896.95,0.13
897.254,-0.05
897.557,-0.01
897.86,0.14
898.163,-0.15
898.466,-0.03
898.769,0.1
899.072,0.02
899.375,0.02
899.677,-0.07
899.98,-0.09
900.283,-0.14
900.585,0.05
900.888,-0.01
901.191,0.1
901.493,-0.18
901.795,0.08
902.098,0.03
902.4,-0.02
902.702,-0.06
903.004,-0.04
903.306,-0.13
903.608,-0.27
903.91,-0.04
904.212,-0.03
904.514,0
904.816,-0.03
905.118,-0.14
905.42,-0.08
905.721,0.01
906.023,-0.02
906.324,0.02
906.626,-0.05
906.927,-0.05
907.228,-0.21
907.53,-0.06
907.831,-0.06
908.132,0.16
908.433,0.11
908.734,-0.26
909.035,0
909.336,0.12
909.637,0.07
909.938,-0.25
910.239,-0.07
910.54,0.04
910.84,-0.18
911.141,0.06
911.441,-0.25
911.742,-0.01
912.042,-0.39
912.343,0.04
912.643,0.12
912.943,-0.16
913.244,-0.05
913.544,-0.06
913.844,-0.1
914.144,-0.01
914.444,0.21
914.744,-0.26
915.044,-0.03
915.343,0.06
915.643,-0.03
915.943,0.16
916.243,-0.01
916.542,0.13
916.842,-0.09
917.141,-0.11
917.441,0.02
917.74,0.03
918.039,0.1
918.338,-0.24
918.638,-0.12
918.937,-0.32
919.236,-0.17
919.535,-0.26
919.834,0.04
920.133,-0.15
920.431,-0.16
920.73,-0.05
921.029,0.23
921.328,-0.14
921.626,-0.02
921.925,0.04
922.223,-0.01
922.522,-0.41
922.82,-0.04
923.118,-0.08
923.417,0.13
923.715,-0.16
924.013,-0.17
924.311,0.06
924.609,-0.16
924.907,0.31
